ID,Incident Date,Incident Date Text,State,City Or County,Address,,Killed,,,Injured,,longitude,latitude,victim,radius,popup
33,10/15/2016,15-Oct,Illinois,Rockford,7801 East State Street,Number killed:,1,Number killed: 1,Number injured:,5,Number injured: 5,-88.964935,42.271088,6,6.911635164,"10-15, 7801 East State Street, Rockford, Illinois, Number killed: 1, Number injured: 5"
54,9/17/2016,17-Sep,Florida,Miami,20582 Southwest 119th Avenue,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-80.38517,25.576511,6,6.911635164,"09-17, 20582 Southwest 119th Avenue, Miami, Florida, Number killed: 0, Number injured: 6"
62,9/11/2016,11-Sep,Louisiana,New Orleans,2349 S Claiborne Ave,Number killed:,1,Number killed: 1,Number injured:,5,Number injured: 5,-90.091366,29.944989,6,6.911635164,"09-11, 2349 S Claiborne Ave, New Orleans, Louisiana, Number killed: 1, Number injured: 5"
63,9/11/2016,11-Sep,Missouri,Kansas City,500 block of Westport Road,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-94.59153,39.05283,6,6.911635164,"09-11, 500 block of Westport Road, Kansas City, Missouri, Number killed: 0, Number injured: 6"
78,8/29/2016,29-Aug,New Jersey,Egg Harbor City,907 White Horse Pike,Number killed:,1,Number killed: 1,Number injured:,5,Number injured: 5,-74.64406,39.526337,6,6.911635164,"08-29, 907 White Horse Pike, Egg Harbor City, New Jersey, Number killed: 1, Number injured: 5"
80,8/28/2016,28-Aug,Texas,Lubbock,2200 block of 17th St,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-101.86426,33.579838,6,6.911635164,"08-28, 2200 block of 17th St, Lubbock, Texas, Number killed: 0, Number injured: 6"
84,8/27/2016,27-Aug,Florida,Miami,1900 block of NW 83rd Terr,Number killed:,2,Number killed: 2,Number injured:,4,Number injured: 4,-80.229819,25.850745,6,6.911635164,"08-27, 1900 block of NW 83rd Terr, Miami, Florida, Number killed: 2, Number injured: 4"
144,7/16/2016,16-Jul,Tennessee,Clarksville,1348 College Street,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-87.33783,36.537712,6,6.911635164,"07-16, 1348 College Street, Clarksville, Tennessee, Number killed: 0, Number injured: 6"
208,6/5/2016,5-Jun,Florida,Cape Coral,2600 block of Skyline Boulevard S,Number killed:,3,Number killed: 3,Number injured:,3,Number injured: 3,-81.990952,26.60378,6,6.911635164,"06-05, 2600 block of Skyline Boulevard S, Cape Coral, Florida, Number killed: 3, Number injured: 3"
218,5/29/2016,29-May,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-74.763245,40.229374,6,6.911635164,"05-29, 600 block of Martin Luther King Jr. Boulevard, Trenton, New Jersey, Number killed: 0, Number injured: 6"
